nct_id	name	drug	drug_class	target	phase	status	line	match_level	match_basis	key_result	reference
NCT04035486	FLAURA2	Osimertinib + Chemotherapy	3rd-gen EGFR TKI + platinum doublet	EGFR exon19del / L858R	III	Completed	1L	Eligible	Mutation: EGFR p.L858R	PFS 25.5 vs 16.7 mo (HR 0.62)	Planchard D, NEJM 2023
NCT04558853	MARIPOSA	Amivantamab + Lazertinib	EGFR/MET bispecific + 3rd-gen EGFR TKI	EGFR exon19del / L858R	III	Completed	1L	Eligible	Mutation: EGFR p.L858R	PFS 23.7 vs 16.6 mo (HR 0.70)	Cho BC, NEJM 2024
